station,MAE,RMSE,R2
050_Brunnen_Mositunnel_R1_v7,97.00492910017047,133.88159797751914,0.6864581108353381
050_Brunnen_Mositunnel_R2_v7,101.61165978816517,141.8574192755854,0.6108374490455744
171_Sattel_R1_v7,68.22063677140524,98.69765442357884,0.6413273259926936
171_Sattel_R2_v7,68.35859030516369,98.05048861727548,0.6740053009732536
216_Wangen_SZ_R1_v7,266.04989129133287,373.1190380417183,0.7073860774630178
216_Wangen_SZ_R2_v7,309.8950464197633,441.1211775685962,0.5796794200016355
299_Wollerau_Blatttunnel_R1_v7,303.0983495804267,396.65077867767286,0.7544218703274452
299_Wollerau_Blatttunnel_R2_v7,372.79592990939693,506.8027958858255,0.605459805785959
720_Schwyz_R1_v7,130.00654530268844,175.03462923032333,0.7431279629997889
720_Schwyz_R2_v7,143.32055635163277,198.3544473702575,0.6456829175286141
