timestamp,elapsed_s,cpu_percent,ram_percent,ram_used_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb
2026-07-31T19:50:33,0.1,0.0,49.4,15.74,11.0,1514.0,8192.0
2026-07-31T19:50:35,2.1,32.8,50.8,16.18,22.0,1565.0,8192.0
2026-07-31T19:50:37,4.2,43.7,51.1,16.28,18.0,1546.0,8192.0
2026-07-31T19:50:39,6.2,24.2,51.1,16.29,31.0,1549.0,8192.0
2026-07-31T19:50:41,8.3,18.0,51.1,16.28,28.0,1563.0,8192.0
2026-07-31T19:50:43,10.3,16.9,51.1,16.28,36.0,1552.0,8192.0
2026-07-31T19:50:45,12.4,18.3,51.1,16.28,38.0,1552.0,8192.0
2026-07-31T19:50:47,14.4,22.6,51.1,16.27,36.0,1557.0,8192.0
2026-07-31T19:50:50,16.5,21.4,51.1,16.28,38.0,1551.0,8192.0
2026-07-31T19:50:52,18.6,19.3,51.1,16.28,31.0,1551.0,8192.0
2026-07-31T19:50:54,20.6,22.6,50.8,16.17,28.0,1555.0,8192.0
2026-07-31T19:50:56,22.7,24.5,50.8,16.17,39.0,1555.0,8192.0
2026-07-31T19:50:58,24.7,21.5,50.7,16.14,40.0,1550.0,8192.0
2026-07-31T19:51:00,26.8,17.4,50.7,16.14,35.0,1550.0,8192.0
2026-07-31T19:51:02,28.8,21.6,50.7,16.14,36.0,1555.0,8192.0
2026-07-31T19:51:04,30.9,20.7,50.7,16.14,34.0,1550.0,8192.0
2026-07-31T19:51:06,32.9,23.9,50.6,16.13,46.0,1546.0,8192.0
2026-07-31T19:51:08,35.0,16.5,50.6,16.13,52.0,1552.0,8192.0
2026-07-31T19:51:10,37.0,19.5,50.7,16.13,46.0,1546.0,8192.0
2026-07-31T19:51:12,39.1,22.1,50.6,16.12,49.0,1541.0,8192.0
2026-07-31T19:51:14,41.1,21.6,50.6,16.13,41.0,1541.0,8192.0
2026-07-31T19:51:16,43.2,18.6,50.6,16.13,50.0,1546.0,8192.0
2026-07-31T19:51:18,45.2,18.2,50.6,16.13,49.0,1540.0,8192.0
2026-07-31T19:51:20,47.3,20.8,50.6,16.13,52.0,1540.0,8192.0
2026-07-31T19:51:22,49.4,22.4,50.6,16.13,47.0,1546.0,8192.0
2026-07-31T19:51:24,51.4,17.8,50.6,16.13,49.0,1546.0,8192.0
2026-07-31T19:51:27,53.5,20.2,50.6,16.13,43.0,1540.0,8192.0
2026-07-31T19:51:29,55.5,21.8,50.6,16.13,50.0,1540.0,8192.0
2026-07-31T19:51:31,57.6,24.1,50.6,16.13,48.0,1546.0,8192.0
2026-07-31T19:51:33,59.6,16.9,50.6,16.12,29.0,1540.0,8192.0
2026-07-31T19:51:35,61.7,17.2,50.6,16.13,28.0,1540.0,8192.0
2026-07-31T19:51:37,63.7,21.5,50.6,16.12,29.0,1546.0,8192.0
2026-07-31T19:51:39,65.8,22.7,50.6,16.12,31.0,1545.0,8192.0
2026-07-31T19:51:41,67.8,21.1,50.5,16.1,29.0,1539.0,8192.0
2026-07-31T19:51:43,69.9,16.7,50.5,16.1,31.0,1544.0,8192.0
2026-07-31T19:51:45,71.9,21.5,50.6,16.11,30.0,1545.0,8192.0
2026-07-31T19:51:47,74.0,21.2,50.6,16.11,38.0,1539.0,8192.0
2026-07-31T19:51:49,76.0,17.9,50.6,16.1,33.0,1539.0,8192.0
2026-07-31T19:51:51,78.1,20.5,50.6,16.11,35.0,1547.0,8192.0
2026-07-31T19:51:53,80.2,19.2,50.6,16.11,23.0,1541.0,8192.0
2026-07-31T19:51:55,82.2,24.2,50.6,16.11,35.0,1541.0,8192.0
2026-07-31T19:51:57,84.3,23.4,50.6,16.11,27.0,1546.0,8192.0
2026-07-31T19:51:59,86.3,18.0,50.6,16.11,23.0,1548.0,8192.0
2026-07-31T19:52:01,88.4,17.2,50.6,16.11,27.0,1541.0,8192.0
2026-07-31T19:52:03,90.4,20.4,50.6,16.11,34.0,1541.0,8192.0
2026-07-31T19:52:06,92.5,21.2,50.6,16.11,26.0,1547.0,8192.0
2026-07-31T19:52:08,94.6,13.4,50.6,16.11,27.0,1541.0,8192.0
2026-07-31T19:52:10,96.6,16.2,50.6,16.11,26.0,1541.0,8192.0
2026-07-31T19:52:12,98.6,21.4,50.6,16.11,37.0,1547.0,8192.0
2026-07-31T19:52:14,100.7,22.7,50.6,16.11,30.0,1547.0,8192.0
2026-07-31T19:52:16,102.8,16.7,50.6,16.12,28.0,1541.0,8192.0
2026-07-31T19:52:18,104.8,20.6,50.6,16.1,37.0,1542.0,8192.0
2026-07-31T19:52:20,106.9,19.9,50.6,16.1,25.0,1546.0,8192.0
2026-07-31T19:52:22,108.9,21.9,50.6,16.1,39.0,1541.0,8192.0
2026-07-31T19:52:24,111.0,15.1,50.6,16.1,28.0,1541.0,8192.0
2026-07-31T19:52:26,113.0,19.3,50.6,16.1,41.0,1546.0,8192.0
2026-07-31T19:52:28,115.1,18.3,50.5,16.1,27.0,1546.0,8192.0
2026-07-31T19:52:30,117.1,21.4,50.6,16.1,38.0,1541.0,8192.0
2026-07-31T19:52:32,119.2,20.4,50.6,16.1,35.0,1546.0,8192.0
2026-07-31T19:52:34,121.2,18.5,50.6,16.1,35.0,1547.0,8192.0
2026-07-31T19:52:36,123.3,17.6,50.6,16.1,38.0,1541.0,8192.0
2026-07-31T19:52:38,125.4,21.1,50.6,16.1,39.0,1541.0,8192.0
2026-07-31T19:52:40,127.4,18.9,50.6,16.11,31.0,1547.0,8192.0
2026-07-31T19:52:43,129.5,19.6,50.6,16.11,41.0,1541.0,8192.0
2026-07-31T19:52:45,131.5,19.3,50.6,16.11,43.0,1541.0,8192.0
2026-07-31T19:52:47,133.6,21.5,50.6,16.1,30.0,1547.0,8192.0
2026-07-31T19:52:49,135.6,20.8,50.6,16.11,39.0,1554.0,8192.0
2026-07-31T19:52:51,137.7,20.2,50.6,16.12,40.0,1549.0,8192.0
2026-07-31T19:52:53,139.7,16.6,50.6,16.12,40.0,1549.0,8192.0
2026-07-31T19:52:55,141.8,22.2,50.6,16.11,38.0,1554.0,8192.0
2026-07-31T19:52:57,143.8,21.2,50.6,16.11,38.0,1549.0,8192.0
2026-07-31T19:52:59,145.9,14.6,50.6,16.11,40.0,1549.0,8192.0
2026-07-31T19:53:01,147.9,21.6,50.5,16.07,38.0,1554.0,8192.0
2026-07-31T19:53:03,150.0,20.4,50.4,16.06,36.0,1554.0,8192.0
2026-07-31T19:53:05,152.0,22.7,50.4,16.06,30.0,1548.0,8192.0
2026-07-31T19:53:07,154.1,17.4,50.4,16.06,31.0,1548.0,8192.0
2026-07-31T19:53:09,156.1,19.2,50.5,16.07,29.0,1554.0,8192.0
2026-07-31T19:53:11,158.2,20.7,50.5,16.07,30.0,1549.0,8192.0
2026-07-31T19:53:13,160.2,22.7,50.4,16.07,32.0,1549.0,8192.0
2026-07-31T19:53:15,162.3,19.6,50.5,16.07,29.0,1554.0,8192.0
2026-07-31T19:53:17,164.3,18.9,50.5,16.07,27.0,1554.0,8192.0
2026-07-31T19:53:19,166.4,19.0,50.5,16.07,34.0,1549.0,8192.0
2026-07-31T19:53:21,168.4,23.1,50.5,16.07,26.0,1549.0,8192.0
2026-07-31T19:53:24,170.5,18.3,50.4,16.06,31.0,1554.0,8192.0
2026-07-31T19:53:26,172.6,18.0,50.5,16.08,29.0,1549.0,8192.0
2026-07-31T19:53:28,174.6,19.6,50.5,16.07,35.0,1549.0,8192.0
2026-07-31T19:53:30,176.7,26.0,50.4,16.06,29.0,1554.0,8192.0
2026-07-31T19:53:32,178.7,21.7,50.4,16.06,28.0,1549.0,8192.0
2026-07-31T19:53:34,180.8,17.5,50.4,16.05,32.0,1549.0,8192.0
2026-07-31T19:53:36,182.8,21.4,50.4,16.06,28.0,1554.0,8192.0
2026-07-31T19:53:38,184.9,23.5,50.4,16.05,30.0,1556.0,8192.0
2026-07-31T19:53:40,186.9,16.3,50.4,16.06,27.0,1549.0,8192.0
2026-07-31T19:53:42,189.0,16.9,50.4,16.06,32.0,1549.0,8192.0
2026-07-31T19:53:44,191.1,20.2,50.4,16.06,39.0,1555.0,8192.0
2026-07-31T19:53:46,193.1,23.3,50.5,16.07,37.0,1549.0,8192.0
2026-07-31T19:53:48,195.2,27.1,49.0,15.61,31.0,1549.0,8192.0
2026-07-31T19:53:50,197.2,20.5,48.3,15.39,38.0,1555.0,8192.0
2026-07-31T19:53:52,199.3,18.9,48.3,15.39,27.0,1554.0,8192.0
2026-07-31T19:53:54,201.3,18.9,48.3,15.39,28.0,1549.0,8192.0
2026-07-31T19:53:56,203.4,25.9,48.3,15.39,30.0,1549.0,8192.0
2026-07-31T19:53:59,205.5,18.0,48.3,15.39,38.0,1554.0,8192.0
2026-07-31T19:54:01,207.5,17.4,48.3,15.39,29.0,1549.0,8192.0
2026-07-31T19:54:03,209.6,21.0,48.3,15.39,30.0,1549.0,8192.0
2026-07-31T19:54:05,211.6,21.6,48.3,15.39,41.0,1554.0,8192.0
2026-07-31T19:54:07,213.7,20.4,48.3,15.39,31.0,1554.0,8192.0
2026-07-31T19:54:09,215.7,16.7,48.3,15.39,26.0,1549.0,8192.0
2026-07-31T19:54:11,217.8,18.4,48.3,15.39,41.0,1549.0,8192.0
2026-07-31T19:54:13,219.8,24.8,48.3,15.39,36.0,1549.0,8192.0
2026-07-31T19:54:15,221.9,16.3,48.3,15.39,38.0,1554.0,8192.0
2026-07-31T19:54:17,223.9,21.5,48.3,15.39,38.0,1554.0,8192.0
2026-07-31T19:54:19,226.0,18.2,48.3,15.39,37.0,1549.0,8192.0
2026-07-31T19:54:21,228.1,23.5,48.3,15.39,41.0,1549.0,8192.0
2026-07-31T19:54:23,230.1,19.7,48.3,15.39,38.0,1554.0,8192.0
