station,MAE,RMSE,R2
050_Brunnen_Mositunnel_R1_withoutcorona,96.80797252989652,133.79406382815344,0.6868679752342852
050_Brunnen_Mositunnel_R2_withoutcorona,101.82070394951,142.2757743072414,0.6085386876165257
171_Sattel_R1_withoutcorona,71.0561442500045,98.15999043988876,0.6452244825959654
171_Sattel_R2_withoutcorona,71.54693918950323,97.90315883824218,0.6749842383326622
216_Wangen_SZ_R1_withoutcorona,266.89581048272976,375.7193926918883,0.7032932741370581
216_Wangen_SZ_R2_withoutcorona,310.96828048803246,442.0092528065089,0.5779853184156265
299_Wollerau_Blatttunnel_R1_withoutcorona,303.95529288610487,398.14850648917565,0.7525637945265644
299_Wollerau_Blatttunnel_R2_withoutcorona,373.68163213924964,507.9836340537559,0.6036191258296444
720_Schwyz_R1_withoutcorona,129.8809217525717,174.94122216581837,0.7434020488871051
720_Schwyz_R2_withoutcorona,143.426871405086,198.44492470937706,0.6453596076291984
