station,MAE,RMSE,R2
050_Brunnen_Mositunnel_R1_v7,65.59889983595463,100.90993756089564,0.821876315096701
050_Brunnen_Mositunnel_R2_v7,59.90814617625454,93.5735709173468,0.8306702222357965
171_Sattel_R1_v7,31.963656703681703,48.029037184790596,0.9150638857526266
171_Sattel_R2_v7,30.985046177220866,47.46728789016476,0.9235988579606312
216_Wangen_SZ_R1_v7,145.0276790798929,229.23369530972894,0.8895454936188646
216_Wangen_SZ_R2_v7,144.87284583333542,223.81329214073494,0.8917909194092084
299_Wollerau_Blatttunnel_R1_v7,126.10324906444508,183.87741036512918,0.9472248079330036
299_Wollerau_Blatttunnel_R2_v7,106.6920322418916,177.7518001799705,0.95146653870459
720_Schwyz_R1_v7,80.03001147848698,116.64658178596885,0.8859138410516999
720_Schwyz_R2_v7,74.29277359782448,105.4094363525969,0.899936740712775
