multiplier,hidden_dims,params,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std
2,"[8, 4, 4, 2]",241,128.22878200162586,12.29064482844827,146.32844451235883,14.223802735306512,0.6219096624897855,0.07753189261201715
4,"[16, 8, 8, 4]",593,108.09023301016707,6.9007923792271635,127.19031982234283,5.656982811837685,0.7164561901330988,0.025537650315164355
8,"[32, 16, 16, 8]",1633,94.16816152665479,1.6050567998534109,113.99628721227904,1.5200466596222224,0.7726408585582583,0.006114247934725197
16,"[64, 32, 32, 16]",5057,85.87483354934768,1.3112885447219573,104.74199464471717,1.137537373922814,0.8080683056289877,0.0041773649265764035
32,"[128, 64, 64, 32]",17281,86.10242622009368,1.806475615840799,101.92626011048839,1.1521463750691983,0.8182470524152146,0.004113456293110092
48,"[192, 96, 96, 48]",36673,86.57903025419544,1.6607522408360953,101.68082699530433,0.9103744743265065,0.8191299129474899,0.003245481724233181
64,"[256, 128, 128, 64]",63233,85.4516419439482,1.4622143743634153,100.52447908243141,0.7464029508045914,0.8232247738934589,0.002632132398853814
96,"[384, 192, 192, 96]",137857,87.82164047527876,1.1824959202990664,102.37725855313377,0.7570642279629167,0.8166484709789797,0.002718340615471989
128,"[512, 256, 256, 128]",241153,88.187569925049,2.882646133755109,104.08473871208832,1.3097682420313166,0.8104618343281667,0.004780841504699618
