station,MAE,RMSE,R2
050_Brunnen_Mositunnel_R1_v5,96.82567601333301,134.3562569220146,0.6853454774464307
050_Brunnen_Mositunnel_R2_v5,101.31382374925523,142.33302469121756,0.6109329522778171
171_Sattel_R1_v5,75.28716981957452,101.7298559431458,0.6014711279447834
171_Sattel_R2_v5,75.48678358498425,101.23999143992732,0.6295414871782405
216_Wangen_SZ_R1_v5,263.1002044704531,381.4360504150391,0.6981655321357128
216_Wangen_SZ_R2_v5,304.41769450446213,449.4348149505036,0.5709174909223149
299_Wollerau_Blatttunnel_R1_v5,300.46656416840165,399.8004244928241,0.7511856917721303
299_Wollerau_Blatttunnel_R2_v5,369.6403455053784,509.4352964393262,0.603154210929187
720_Schwyz_R1_v5,129.8809217525717,174.94122216581837,0.7434020488871051
720_Schwyz_R2_v5,143.426871405086,198.44492470937706,0.6453596076291984
