station,MAE,RMSE,R2
050_Brunnen_Mositunnel_R1_engineered,63.90021469767939,99.33553648086833,0.8280003872346922
050_Brunnen_Mositunnel_R2_engineered,58.67242912534756,91.93379099105536,0.837683215550076
171_Sattel_R1_engineered,55.15402460216069,83.44368147504557,0.7318672612171684
171_Sattel_R2_engineered,54.761177777131444,80.91162599586914,0.7633768469838197
216_Wangen_SZ_R1_engineered,176.51857612286966,258.5604944843743,0.8613085470206879
216_Wangen_SZ_R2_engineered,169.69993026886138,253.89413043576056,0.8630655536210097
299_Wollerau_Blatttunnel_R1_engineered,148.1133124511527,209.31099690004157,0.9318017953782353
299_Wollerau_Blatttunnel_R2_engineered,139.51616825846227,223.31166206656002,0.923745316936046
720_Schwyz_R1_engineered,80.03426792934746,116.49745142564737,0.8862053683966858
720_Schwyz_R2_engineered,74.44637838374133,108.74592790921874,0.8935019466856629
