multiplier,hidden_dims,params,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std
4,"[16, 8, 8, 4]",1409,106.60648103529043,7.443890624037632,124.96522041333549,5.2794046983214455,0.7263430031618898,0.023111194599077834
8,"[32, 16, 16, 8]",3265,92.99181711397127,2.583155842277375,112.18903285654365,2.4152717841994376,0.7797297500623224,0.009473628411703456
16,"[64, 32, 32, 16]",8321,88.46957068823563,2.432327423831129,108.56192531386232,2.4341284266438916,0.7937342376800125,0.009250825406438592
32,"[128, 64, 64, 32]",23809,82.56078189045165,1.3945729222497265,106.85523502098104,1.2545660230409865,0.8002415012204056,0.0046771045766324446
48,"[192, 96, 96, 48]",46465,82.23682745930648,2.332758682871467,106.06616508375211,1.4142256668311644,0.8031729733638292,0.00523753483424232
64,"[256, 128, 128, 64]",76289,81.53012281042469,1.8906025550354466,104.67742472895357,2.8926731604525453,0.8081811087430919,0.010654410440054444
96,"[384, 192, 192, 96]",157441,81.23146816329462,2.349835689918431,104.36937091432421,2.6144543849738846,0.8093343917100029,0.00957474695976943
128,"[512, 256, 256, 128]",267265,78.6637239775391,2.0302136908867596,100.8753440739642,1.5776000602545537,0.8219548853602934,0.005572401892326648
192,"[768, 384, 384, 192]",572929,76.92474758432937,1.1597936788734529,100.70934972237882,1.0837190695628696,0.8225632123889361,0.003827199313130254
