epoch,train_mse,val_mse,train_rmse,val_rmse,train_r2,val_r2
0,270432.12295234227,138298.91014023143,520.0308865368886,371.88561432277993,0.599047839641571,0.785922110080719
1,141626.779428749,86291.14119813986,376.3333355268292,293.75353818829126,0.790019154548645,0.8664268255233765
2,102226.5845048516,60922.57852121453,319.7289234724497,246.82499573830552,0.8484352827072144,0.9056957364082336
3,83002.82594343327,49542.22748580157,288.10211027244014,222.58083359939505,0.8769370913505554,0.9233118295669556
4,71586.78776210667,42839.31004394926,267.5570738405297,206.97659298565446,0.8938629031181335,0.9336875081062317
5,63541.5525026584,41170.374455689096,252.07449792205955,202.90484088776466,0.9057910442352295,0.9362708926200867
6,58401.657141502954,37876.47562975532,241.66434809773443,194.61879567440377,0.9134116768836975,0.9413696527481079
7,54862.495900570895,36335.96933232228,234.22744480647629,190.61996047718162,0.918658971786499,0.943754255771637
8,51478.433459850385,37824.125570684824,226.88859261728078,194.48425532850936,0.9236762523651123,0.9414506554603577
9,49358.67233674157,34284.11287449556,222.16811728225443,185.15969559948934,0.9268190860748291,0.9469304084777832
10,48100.52404438484,33749.8450471506,219.3183167097195,183.71130898001516,0.9286844730377197,0.9477574229240417
11,46438.97590232031,35958.25399336665,215.49704383661577,189.6266173124613,0.9311479330062866,0.9443389177322388
12,46085.268623197815,36988.390764228025,214.67479736382148,192.32366147780158,0.9316723942756653,0.9427443146705627
13,45354.53923248984,34327.86099049653,212.9660518310133,185.27779411061792,0.9327557682991028,0.9468626379966736
14,43863.603527689294,34668.02229729772,209.4363949453134,186.19350766688328,0.9349662661552429,0.9463360905647278
15,43569.45454167897,34536.181132432044,208.7329742558156,185.83912702235781,0.9354023933410645,0.9465401768684387
16,43070.61116594552,33753.48022284417,207.53460233403376,183.72120243141285,0.9361419677734375,0.9477517604827881
17,42620.29050485131,33594.48098388172,206.4468224624717,183.28797282932047,0.9368096590042114,0.9479978680610657
18,42992.45081831328,32225.447634069955,207.34621004087165,179.51447750549247,0.9362578988075256,0.9501170516014099
19,41702.81033060936,36385.167950078096,204.2126595747907,190.74896579032375,0.9381699562072754,0.943678081035614
20,40983.633109999624,34584.00100970104,202.44414812485846,185.96774185245417,0.9392362236976624,0.9464662075042725
21,41862.27767065763,38465.38666661,204.60273133723712,196.12594592916562,0.9379335045814514,0.9404580593109131
22,40668.88832251052,34156.50454744229,201.66528784724088,184.8147844395634,0.9397028684616089,0.9471279382705688
23,41367.52047345473,31417.504318655243,203.39006975133947,177.24983587765388,0.9386670589447021,0.9513677358627319
24,39634.85648234183,36844.29631700602,199.08504836461685,191.9486814672245,0.9412359595298767,0.942967414855957
25,39836.514857488175,36099.49958953112,199.59086867261283,189.9986831257815,0.9409369826316833,0.9441202878952026
26,40730.46276017289,34617.95921255495,201.81789504445064,186.0590207771581,0.9396116137504578,0.9464136362075806
27,39846.252137447394,36950.501153366815,199.61526028199197,192.22513143022383,0.9409225583076477,0.9428029656410217
28,40118.76082014138,34253.81139333891,200.2966819998309,185.07785224963823,0.9405184984207153,0.9469773173332214
29,40088.15779545155,46206.60648348041,200.2202731879356,214.95722012409914,0.9405639171600342,0.9284751415252686
30,40264.948455746126,32856.101168342706,200.66127791815273,181.26252003197655,0.940301775932312,0.9491408467292786
31,38588.72041521462,35915.135117733334,196.4401191590318,189.51288905436837,0.9427869915962219,0.9444056749343872
32,40197.74838541626,36509.39876068441,200.4937614625858,191.07432784307892,0.9404014348983765,0.9434857964515686
33,39685.827817545665,34048.437445214455,199.21302120480394,184.52218686438349,0.9411603808403015,0.9472951889038086
