multiplier,hidden_dims,params,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std
2,"[4, 16, 4, 2]",381,126.17063967100128,14.338287954618163,145.33910869870934,17.019276377760676,0.6254294830213981,0.08869896988721102
4,"[8, 32, 8, 4]",1033,102.78943865046237,1.2933729359478083,121.99095338679356,2.7074750542973884,0.7395508661465126,0.011542097736684237
8,"[16, 64, 16, 8]",3153,95.49002991109099,3.6832781188866157,112.74096208877543,4.88412726616528,0.7772428898413818,0.01950854911052292
16,"[32, 128, 32, 16]",10657,84.86225777571674,2.2258658618257123,103.65210345129177,2.6626672766365433,0.8119399567181779,0.009789183339824646
32,"[64, 256, 64, 32]",38721,81.96832735309917,1.5907776436436474,101.50283551557854,0.5920492905448346,0.8197708972986331,0.0020999461842032803
48,"[96, 384, 96, 48]",84193,82.48290385885484,1.0736658794066445,100.7743907980808,0.610445019306131,0.8223480026945129,0.0021493665595049504
64,"[128, 512, 128, 64]",147073,83.85269320289831,1.477150524060953,101.53136155235839,0.4594297735438225,0.8196720237546323,0.0016315217582159192
96,"[192, 768, 192, 96]",325057,85.96694972952766,2.6475660122574585,101.53324659515445,0.5774913713894089,0.8196631863989723,0.0020531935047502147
128,"[256, 1024, 256, 128]",572673,87.55015615305975,0.4915287704704756,102.66495549901336,1.023158033200103,0.8156082971887058,0.0036909850973710235
