datetime,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,is_holiday,temp,rain_1h,sun_1h,snow_1h,weather_cat
2015-01-01 00:00:00,33.0,2015,0.0,1.0,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-3.6,0.0,0.0,0.0,Night
2015-01-01 01:00:00,71.0,2015,0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-4.1,0.0,0.0,0.0,Night
2015-01-01 02:00:00,74.0,2015,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-3.7,0.0,0.0,0.0,Night
2015-01-01 03:00:00,48.0,2015,0.7071067811865476,0.7071067811865476,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-3.8,0.0,0.0,0.0,Night
2015-01-01 04:00:00,42.0,2015,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-4.2,0.0,0.0,0.0,Night
2015-01-01 05:00:00,25.0,2015,0.9659258262890684,0.2588190451025207,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-3.4,0.0,0.0,0.0,Night
2015-01-01 06:00:00,54.0,2015,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-3.0,0.0,0.0,0.0,Night
2015-01-01 07:00:00,154.0,2015,0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.9,0.0,0.0,0.0,Cloudy
2015-01-01 08:00:00,208.0,2015,0.8660254037844387,-0.4999999999999998,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.9,0.0,11.0,1.0,Snow
2015-01-01 09:00:00,222.0,2015,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.8,0.0,0.0,1.0,Snow
2015-01-01 10:00:00,312.0,2015,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.4,0.0,0.0,0.0,Cloudy
2015-01-01 11:00:00,385.0,2015,0.258819045102521,-0.9659258262890682,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.3,0.0,0.0,0.0,Cloudy
2015-01-01 12:00:00,364.0,2015,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.3,0.0,0.0,0.0,Cloudy
2015-01-01 13:00:00,438.0,2015,-0.2588190451025208,-0.9659258262890684,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.1,0.0,0.0,0.0,Cloudy
2015-01-01 14:00:00,404.0,2015,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.0,0.0,0.0,0.0,Cloudy
2015-01-01 15:00:00,348.0,2015,-0.7071067811865471,-0.7071067811865479,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-1.9,0.0,0.0,0.0,Cloudy
2015-01-01 16:00:00,359.0,2015,-0.8660254037844385,-0.5000000000000004,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-1.8,0.0,0.0,0.0,Cloudy
2015-01-01 17:00:00,306.0,2015,-0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.2,0.0,0.0,0.0,Cloudy
2015-01-01 18:00:00,225.0,2015,-1.0,-1.8369701987210294e-16,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.0,0.0,0.0,0.0,Cloudy
2015-01-01 19:00:00,149.0,2015,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.1,0.0,0.0,0.0,Cloudy
2015-01-01 20:00:00,75.0,2015,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.2,0.0,0.0,0.0,Night
2015-01-01 21:00:00,87.0,2015,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.8,0.0,0.0,0.0,Night
2015-01-01 22:00:00,63.0,2015,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-3.4,0.0,0.0,0.0,Night
2015-01-01 23:00:00,29.0,2015,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0,1,-2.6,0.0,0.0,0.0,Night
2015-01-02 00:00:00,19.0,2015,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-3.7,0.0,0.0,2.0,Snow
2015-01-02 01:00:00,21.0,2015,0.2588190451025207,0.9659258262890684,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-2.8,0.0,0.0,0.0,Night
2015-01-02 02:00:00,12.0,2015,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-2.8,0.0,0.0,0.0,Night
2015-01-02 03:00:00,12.0,2015,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-2.9,0.0,0.0,0.0,Night
2015-01-02 04:00:00,21.0,2015,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-3.5,0.0,0.0,0.0,Night
2015-01-02 05:00:00,47.0,2015,0.9659258262890684,0.2588190451025207,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-3.2,0.0,0.0,0.0,Night
2015-01-02 06:00:00,98.0,2015,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-2.7,0.0,0.0,0.0,Night
2015-01-02 07:00:00,244.0,2015,0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-2.6,0.0,0.0,0.0,Cloudy
2015-01-02 08:00:00,378.0,2015,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-2.4,0.0,5.0,0.0,Cloudy
2015-01-02 09:00:00,430.0,2015,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-0.9,0.0,34.0,0.0,Clear
2015-01-02 10:00:00,490.0,2015,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,-1.5,0.0,0.0,0.0,Cloudy
2015-01-02 11:00:00,486.0,2015,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,0.1,0.0,0.0,0.0,Cloudy
2015-01-02 12:00:00,441.0,2015,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,0.5,0.0,0.0,1.0,Snow
2015-01-02 13:00:00,427.0,2015,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,0.3,0.2,0.0,0.0,Rain
2015-01-02 14:00:00,442.0,2015,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,1.3,0.5,0.0,0.0,Rain
2015-01-02 15:00:00,426.0,2015,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,1.2,1.1,0.0,0.0,Rain
2015-01-02 16:00:00,412.0,2015,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,1.2,0.7,0.0,0.0,Rain
2015-01-02 17:00:00,389.0,2015,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,2.1,0.1,0.0,0.0,Cloudy
2015-01-02 18:00:00,315.0,2015,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,1.9,0.0,0.0,0.0,Cloudy
2015-01-02 19:00:00,236.0,2015,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0,0,2.3,0.0,0.0,0.0,Cloudy
