station,MAE,RMSE,R2
050_Brunnen_Mositunnel_R1_v5,63.657455247119714,99.31223362230912,0.8280810756301602
050_Brunnen_Mositunnel_R2_v5,58.31451696950789,92.56475813471616,0.8354475193302874
171_Sattel_R1_v5,47.09073227603063,68.84062568957778,0.8175043365803996
171_Sattel_R2_v5,45.78944824830274,69.72260158503367,0.8242956365655032
216_Wangen_SZ_R1_v5,185.45601422308144,269.97548163088715,0.8487922650224536
216_Wangen_SZ_R2_v5,166.85841126763793,249.74451619623628,0.8675050546604905
299_Wollerau_Blatttunnel_R1_v5,141.94791837531753,205.8913103575995,0.9340120123366531
299_Wollerau_Blatttunnel_R2_v5,140.1480583782407,224.48321221452704,0.9229431149852215
720_Schwyz_R1_v5,81.26503735672212,115.72555336301603,0.8877083515621065
720_Schwyz_R2_v5,73.48376738513907,107.2576449392579,0.8963970369547261
