station,MAE,RMSE,R2
050_Brunnen_Mositunnel_R1_v6,68.74991634301972,103.15032846768969,0.8138791502948841
050_Brunnen_Mositunnel_R2_v6,61.712453172917954,95.71588726283701,0.8228280394330818
171_Sattel_R1_v6,50.17628956745469,72.68237510949696,0.8054895902711918
171_Sattel_R2_v6,38.614144069188384,61.19642249517695,0.8730118833594276
216_Wangen_SZ_R1_v6,145.8985487382341,229.20148696813433,0.8895765301254411
216_Wangen_SZ_R2_v6,153.99392201643704,244.42902756936155,0.8709382599534525
299_Wollerau_Blatttunnel_R1_v6,156.77572789514153,223.93443900115096,0.9217264838657164
299_Wollerau_Blatttunnel_R2_v6,143.49141723535317,229.631614703428,0.9190015684784082
720_Schwyz_R1_v6,78.23070685235771,112.92782389741048,0.8930721476885322
720_Schwyz_R2_v6,73.21759876211605,106.8806896111338,0.8971239793029324
