station,MAE,RMSE,R2
050_Brunnen_Mositunnel_R1_engineered,96.82567560583988,134.3562572154607,0.6853454760719635
050_Brunnen_Mositunnel_R2_engineered,101.31382419201218,142.33302409983597,0.610932955510898
171_Sattel_R1_engineered,75.28716573576465,101.72985397850113,0.6014711433378577
171_Sattel_R2_engineered,75.48678582374977,101.2399930227808,0.62954147559425
216_Wangen_SZ_R1_engineered,263.1002092241424,381.43605241506395,0.6981655289704303
216_Wangen_SZ_R2_engineered,304.4176918784105,449.4348087882477,0.5709175026887208
299_Wollerau_Blatttunnel_R1_engineered,300.4665507847313,399.80041793679663,0.7511856999323689
299_Wollerau_Blatttunnel_R2_engineered,369.6403395742126,509.43529415120594,0.6031542144940397
720_Schwyz_R1_engineered,129.8809231807526,174.9412212062154,0.7434020517021325
720_Schwyz_R2_engineered,143.42686602983073,198.44492310531692,0.6453596133624215
