epoch,train_mse,val_mse,train_rmse,val_rmse,train_r2,val_r2
0,209532.4306092754,143042.7341117927,457.7471251786028,378.20990747439805,0.5300291180610657,0.7006510496139526
1,132996.73106874942,109714.13356313169,364.6871687744846,331.2312388092821,0.7016948461532593,0.7703986167907715
2,106502.6060578887,87371.91014293667,326.3473702328375,295.5873984846727,0.7611199021339417,0.8171547055244446
3,89347.10681501142,76697.20985743334,298.9098640309674,276.94261112626447,0.7995988130569458,0.8394939303398132
4,79633.00187274406,68509.43265132174,282.1931995508468,261.74306609979516,0.8213871121406555,0.8566286563873291
5,72263.23126143885,65302.13261488714,268.8182122949241,255.54281953302296,0.837917149066925,0.8633406758308411
6,68155.92789737646,61263.085109442174,261.06690310603614,247.51380791673455,0.8471296429634094,0.871793270111084
7,64049.85587480796,59971.27154449474,253.08072995549853,244.89032554287388,0.8563393354415894,0.8744966983795166
8,61274.46301019349,59888.948801985825,247.53679122545296,244.72218698349732,0.8625643849372864,0.8746689558029175
9,59006.04811907539,57371.05280801218,242.91160556687157,239.52255177333967,0.8676523566246033,0.8799382448196411
10,57324.2509610683,58294.37094379007,239.42483363483476,241.44227248721396,0.8714245557785034,0.8780059814453125
11,55820.53837536828,59034.40275594219,236.26370515880828,242.96996266193523,0.8747972846031189,0.8764572739601135
12,54062.164731040786,56775.679706734845,232.5127195037742,238.27647745158325,0.8787412047386169,0.8811841607093811
13,53554.885799184536,58263.63974396947,231.41928571142148,241.3786232125154,0.8798789978027344,0.8780702948570251
14,52506.12564642134,59386.285262277255,229.14215161427927,243.6930143895743,0.8822313547134399,0.8757208585739136
15,51941.23530303748,56546.99352959572,227.90619847436682,237.7961175662793,0.8834983706474304,0.8816627264022827
16,51309.94834282455,53760.993439787446,226.51699349678944,231.86417023720472,0.8849142789840698,0.8874930739402771
17,50369.18785548908,56898.64014792626,224.4308086147913,238.5343584222748,0.8870244026184082,0.8809268474578857
18,49746.92766515674,56062.49782009822,223.04019293651254,236.7752052477164,0.8884201049804688,0.8826766610145569
19,49197.63378524499,56002.4624722506,221.8053962040712,236.6483941890386,0.8896521329879761,0.8828023076057434
20,49399.97745187892,55063.02960557588,222.26105698452648,234.65512908431361,0.8891983032226562,0.8847682476043701
21,48531.592652887746,56071.08735088746,220.29887120202804,236.793343130434,0.8911460638046265,0.8826587200164795
22,49260.08114573301,54855.13818093202,221.94612216872142,234.21173792304268,0.8895120620727539,0.8852033615112305
23,48395.52048051044,58403.38780278049,219.9898190383147,241.6679287840662,0.8914512395858765,0.8777778148651123
24,48239.03192177439,55416.593185415804,219.63385877813644,235.40729212455548,0.8918022513389587,0.8840283751487732
25,47572.06758119867,57681.00935774269,218.1102188830195,240.16871019710848,0.8932982087135315,0.8792895674705505
26,46867.84077215437,56527.516258950185,216.48981678627376,237.7551603203392,0.8948777318000793,0.8817034959793091
