epoch,train_mse,val_mse,train_rmse,val_rmse,train_r2,val_r2
0,209084.48865875092,142813.38296449636,457.2575736483223,377.90657967875654,0.5229523181915283,0.6955903768539429
1,124015.59234629959,103791.72953921469,352.15847618124934,322.1672384635264,0.7170456647872925,0.778765857219696
2,96192.54133832177,85996.9667781228,310.1492243071418,293.25239432632566,0.780526876449585,0.8166957497596741
3,81753.08694867879,75906.5575058268,285.92496734052236,275.51144714117925,0.8134719729423523,0.8382036685943604
4,73075.91359347024,69100.1816930305,270.32556962572045,262.86913415810255,0.8332698345184326,0.85271155834198
5,67341.01516533135,64325.32083485396,259.5014743028088,253.6243695602888,0.8463545441627502,0.862889289855957
6,62721.855422459936,62119.792930337455,250.44331778360535,249.23842587036506,0.8568936586380005,0.8675904273986816
7,58767.144169904415,60430.12895904025,242.41935601330272,245.82540340461205,0.8659167289733887,0.8711919784545898
8,55925.95538280823,58886.5128321276,236.48669176680585,242.66543394584983,0.8723992109298706,0.8744822144508362
9,54454.36744835689,57772.96992686321,233.35459594436293,240.36008388845102,0.8757568001747131,0.876855731010437
10,52279.209476442076,56789.99406110581,228.6464726962611,238.30651283820552,0.8807196021080017,0.8789510130882263
11,50897.212041758816,56423.10313551362,225.6041046651386,237.53547763547581,0.8838728070259094,0.8797330260276794
12,48933.51279580501,54478.10323435525,221.20920594723225,233.40544816767937,0.888353168964386,0.8838788270950317
13,48030.499979166365,54292.16580698352,219.1586183091287,233.00679347818064,0.8904135227203369,0.8842751979827881
14,46962.60307867034,54825.00774337068,216.70856715568573,234.14740601461014,0.8928499817848206,0.8831393718719482
15,45807.04892232178,52721.76548870021,214.02581368218594,229.6122067502079,0.8954865336418152,0.8876225352287292
16,45306.298340334535,53275.13059578129,212.8527621158216,230.81406065441786,0.8966290354728699,0.886443018913269
17,44568.50939203799,52529.575625236175,211.1125514791529,229.1933149662882,0.8983123898506165,0.8880321979522705
18,43592.247811039146,52559.85034175928,208.78756622710833,229.25935169968375,0.9005398154258728,0.8879676461219788
19,42221.3087284743,51933.132250894225,205.4782439297998,227.88842061608622,0.9036677479743958,0.8893035054206848
20,42584.73522088443,52782.80347504865,206.36069204401412,229.74508367982253,0.9028385877609253,0.8874924182891846
21,41344.88680285076,51034.09964537519,203.33442109699664,225.90728108092307,0.9056674242019653,0.8912197947502136
22,41041.38009209486,50938.645721326924,202.5867223983222,225.69591427699115,0.9063599109649658,0.891423225402832
23,39982.028971514985,50921.34176397557,199.95506738143695,225.65757634960005,0.9087768793106079,0.8914601802825928
24,39859.699193562046,51702.16004692397,199.64893987587826,227.38108990618363,0.9090560078620911,0.8897957801818848
25,39332.553488784106,50996.67105065103,198.32436433475365,225.82442527470548,0.9102587699890137,0.8912996053695679
26,38445.95304500393,51475.79684701518,196.07639594046992,226.882782174001,0.9122816324234009,0.8902783393859863
27,38031.78180884253,50034.6605844185,195.01738847816245,223.6842877459624,0.9132266044616699,0.8933501243591309
28,37956.692461834165,50817.238647268394,194.82477373741298,225.42679221261255,0.9133979082107544,0.8916820287704468
29,37159.67709464943,49386.43020682337,192.76845461498473,222.23057891933632,0.9152163863182068,0.8947318196296692
30,36783.53485503954,50785.90444391569,191.79034088045086,225.3572817636823,0.9160745739936829,0.89174884557724
31,36547.88740201084,49995.33708309171,191.17501772462543,223.59637090769544,0.9166122674942017,0.8934339284896851
32,35744.23207857815,50364.35797788357,189.06145053547576,224.42004807477332,0.918445885181427,0.892647385597229
33,35281.713228388784,50752.43085927386,187.8342706440675,225.28300170956942,0.9195011258125305,0.8918201923370361
34,35319.84893197402,50693.16067450826,187.93575745976077,225.15141721629973,0.9194141626358032,0.8919464945793152
35,34925.910417341714,49927.456587585795,186.88475169831733,223.44452686871924,0.9203129410743713,0.8935786485671997
36,34422.72031071685,50091.233219329304,185.53360965258253,223.81070845544747,0.9214610457420349,0.8932295441627502
37,34137.47029715841,50581.26799058097,184.76328178823414,224.90279676024699,0.9221118688583374,0.8921850323677063
38,34256.49870774366,50457.33966101516,185.0851120640006,224.62711247980542,0.9218403100967407,0.892449140548706
39,33182.70523438888,50691.104543801506,182.1612067219277,225.14685106348148,0.9242902398109436,0.8919509053230286
