epoch,train_mse,val_mse,train_rmse,val_rmse,train_r2,val_r2
0,23558.821846009767,16720.51029938411,153.48883296842726,129.307812213277,0.5341796875,0.6946620345115662
1,15677.568450651837,14272.106350895383,125.21009723920766,119.46592129513498,0.6900129318237305,0.739372968673706
2,13283.492552937987,13977.508847459678,115.25403486619454,118.22651499329444,0.7373502254486084,0.7447527647018433
3,11852.93198890924,12720.029295096194,108.8711715235454,112.78310731264764,0.765636146068573,0.7677159309387207
4,11074.177494227319,11796.138742638714,105.23391798382933,108.61003058023101,0.7810341715812683,0.7845873832702637
5,10307.917829900769,10704.69075244536,101.5279165052685,103.46347545122076,0.7961851358413696,0.8045186400413513
6,9767.869135319868,10019.412554541621,98.83253075440226,100.09701571246579,0.8068633675575256,0.8170326352119446
7,9344.314929936441,10071.073199783134,96.66599676171784,100.35473680790126,0.8152381181716919,0.8160892724990845
8,8862.487795184794,9545.089231991145,94.14078709669255,97.69897252269926,0.824765145778656,0.8256944417953491
9,8550.015188244472,9230.823759696419,92.46629217311826,96.07717606016749,0.8309435844421387,0.8314332962036133
10,8296.344916284626,9130.567141972035,91.08427370454586,95.55400118243105,0.8359593152999878,0.8332641124725342
11,7973.521269363799,9088.01658683541,89.29457581154523,95.33108929848338,0.8423423767089844,0.8340411186218262
12,7691.367955538035,8984.728511116526,87.70044444321839,94.78780781892007,0.8479212522506714,0.8359273076057434
13,7428.513691520363,8838.593545671085,86.18882579267664,94.01379444353411,0.8531185984611511,0.8385959267616272
14,7220.375184190403,8990.801648375442,84.9727908461903,94.81983784195921,0.8572340607643127,0.8358163833618164
15,6958.053941288366,9151.095029172646,83.41495034637596,95.6613559864831,0.8624208569526672,0.8328892588615417
16,6731.58603129281,8963.562414898413,82.04624324911414,94.67609209773296,0.8668987154960632,0.8363138437271118
17,6549.704996057849,8601.026279078436,80.93024772023034,92.74171811584276,0.8704949617385864,0.842934250831604
18,6395.065660884397,8760.381982510517,79.9691544339716,93.59691224880507,0.8735526204109192,0.8400241732597351
19,6120.77989162789,8495.787930904087,78.2354132834223,92.17259859038417,0.8789759874343872,0.8448560237884521
20,6054.91592572613,8851.67664344575,77.81334028125339,94.08334944848504,0.8802782893180847,0.8383570313453674
21,5921.4246194997495,8913.08080374551,76.95079349493253,94.40911398665655,0.8829177618026733,0.837235689163208
22,5770.184025463545,8623.60647664558,75.961727372826,92.86337532442799,0.8859081864356995,0.8425219058990479
23,5677.327756417276,8670.998205359378,75.34804414460454,93.11819481368494,0.8877441883087158,0.8416564464569092
24,5552.685119373946,8526.128154723297,74.51634129084671,92.3370356613385,0.8902087211608887,0.8443019390106201
25,5363.277991365899,8397.773811779125,73.23440442419054,91.63936824192497,0.893953800201416,0.8466458916664124
26,5389.817589306229,8675.202875226903,73.41537706302562,93.14076913589936,0.8934290409088135,0.8415796756744385
27,5215.541283107896,8315.789487562824,72.21870452388285,91.19095068899558,0.8968749642372131,0.8481429815292358
28,5147.344414263444,8163.401602731932,71.7449957436994,90.35154455089261,0.8982234001159668,0.8509258031845093
29,5076.572407489756,8033.091015449443,71.25006952620998,89.62751260327067,0.8996227383613586,0.853305459022522
30,5014.234756218204,8126.037235704057,70.81126150703858,90.14453525147299,0.900855302810669,0.851608157157898
31,4950.09995859423,8153.262497238726,70.35694676856174,90.2954179193979,0.9021233916282654,0.8511109352111816
32,4869.048086426905,8125.760253938707,69.77856466298877,90.14299891804525,0.9037260413169861,0.8516131639480591
33,4823.332389102202,8092.244231261614,69.45021518398774,89.95690207683685,0.9046299457550049,0.8522252440452576
34,4711.446172631039,8035.125482621184,68.63997503372973,89.63886145317322,0.9068422317504883,0.8532682657241821
35,4702.448397791681,8187.966180498152,68.57440045521129,90.48738133296902,0.9070201516151428,0.8504772186279297
36,4556.313985508179,8076.5139922268445,67.50047396506324,89.86942746132772,0.9099096059799194,0.8525124788284302
37,4514.100795136641,8082.127261981182,67.18705824142505,89.90065217772995,0.9107442498207092,0.8524099588394165
38,4456.807744477595,8157.586235883733,66.75932702235393,90.31935692797936,0.9118770956993103,0.851032018661499
39,4461.629234135007,8056.584233095119,66.79542824276979,89.75847722134729,0.9117817878723145,0.8528764247894287
