datetime,volume,Year,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,is_weekend,is_holiday,temp,rain_1h,sun_1h,snow_1h,weather_cat
2015-03-24 10:00:00,1306.0,2015,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,10.9,0.0,60.0,0.0,Clear
2015-03-24 11:00:00,1327.0,2015,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,12.3,0.0,60.0,1.0,Snow
2015-03-24 12:00:00,1386.0,2015,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,13.1,0.0,60.0,0.0,Clear
2015-03-24 13:00:00,1392.0,2015,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,14.7,0.0,60.0,0.0,Clear
2015-03-24 14:00:00,1433.0,2015,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,15.4,0.0,60.0,0.0,Clear
2015-03-24 15:00:00,1604.0,2015,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,15.8,0.0,55.0,0.0,Clear
2015-03-24 16:00:00,1864.0,2015,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,15.6,0.0,58.0,1.0,Snow
2015-03-24 17:00:00,2086.0,2015,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,13.8,0.0,27.0,0.0,Cloudy
2015-03-24 18:00:00,1718.0,2015,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,12.3,0.0,0.0,0.0,Cloudy
2015-03-24 19:00:00,1069.0,2015,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.989932495087353,0.141540295217043,0,0,11.3,0.0,0.0,0.0,Cloudy
